,reviewId,content,score,at,replyContent,appVersion,application
17403,aeaba7f8-762a-4096-98bd-81cd433b4e96,Aplikasi ini sangat membantu aku mulai dari promil sampai melahirkan dan menyusui. Informasi yang diberikan juga sangat mengedukasi👍😍,5,2022-02-26 13:02:57,"Halo, Bunda. Terima kasih atas review positifnya. Kami senang Bunda bisa mendapatkan manfaat positif dari aplikasi ini. Jangan ragu juga untuk bertanya seputar kehamilan, persiapan proses persalinan, tips pernikahan, rekomendasi makanan anak, gizi balita dan topik lainnya kepada para pakar di komunitas kami 😊",2.10.13,Asian Parent
54896,3762a505-6819-4cc5-9bee-e7ae708c97ae,semoga bermanfaat,5,2019-02-26 10:31:46,"Halo Bunda, terima kasih banyak atas review positifnya. Semoga kedepannya Bunda dapat menggunakan semua fitur-fitur yang tersedia di aplikasi theAsianparent dengan baik ya! 😊",2.2.6.3,Asian Parent
3786,5058e88c-35b5-454b-b21e-75781e12bec7,"Aplikasi ini sangat berguna sekali. Sebagai ibu baru yg sangat minim pengalaman dalam mengurus anak, aku bisa dapat berbagai informasi tentang tumbuh kembang anak sesuai usia nya, mana yg harus aku lakukan (stimulasi) atau sesuatu apa yang yg termasuk dari red flag si anak dlam tumbuh kembangnya. Berkali2 aku download aplikasi mengenai kehamilan atau parenting, aku rasa AsianParent ini aplikasi terbaik yg aku punya. Terimakasih yang sudah memiliki ide dan mengembangkan aplikasi ini. Kalian hebat",5,2024-03-19 09:58:03,"Hai, Tiaa! Terima kasih atas review positifnya. Kami senang bahwa Anda merasa app ini dapat membantu Anda. Semoga Bunda memanfaatkan semua fitur di aplikasi theAsianparent dengan baik ya! Jangan lupa beritahu teman Bunda untuk bergabung di komunitas kami. 😊

",3.0.6,Asian Parent
87849,28fb1fbd-4925-4db6-a741-9fd1d55760e6,"keren, sangat membantu",5,2019-04-15 19:54:51,,1.8.4,Teman Bumil
22452,bf7f40de-6804-450d-856d-29387bfb0dd3,"Ini aplikasi sangat membantu para bunda dalam segala hal dari perkembangan anak, seputar kehamilan, bahkam sharing dalam berbagai pengalaman. Selalu setia dari hamil sampai sekarang anak mau 2 tahun menggunakan aplikasi ini ❤",5,2021-11-23 17:07:29,"Halo, Parent! Terima kasih atas review positifnya. Kami senang dapat membantu Anda mendapatkan informasi mengenai perkembangan dan pertumbuhan anak Anda. Semoga Anda juga dapat menggunakan fitur di aplikasi theAsianparent (seperti fitur cari nama bayi, resep dll).dengan baik ya.😊
",2.10.5,Asian Parent
15808,3eece6f9-5a7b-4b79-afcd-018b744b28f7,Top banget aplikasinya,5,2022-04-05 16:02:41,"Hai, Parent! Terima kasih atas review positifnya ❤️ Semoga Anda bisa menggunakan semua fitur aplikasi theAsianparent dengan baik ya! Jangan ragu juga untuk bertanya seputar kehamilan, persiapan proses persalinan, tips pernikahan, rekomendasi makanan anak, gizi balita dan topik lainnya kepada para pakar di komunitas kami 😊",2.10.15,Asian Parent
59504,dc4ce033-dfcd-4170-abcc-37cd92565026,"Thank you mhalaga n my application k ng asianparent pra nsusubaybyan ang pglaki ng baby,mga bawal at pwedeng kainin,mga dapat gwin at hindi,at mrmi png ivah.",5,2022-06-19 05:23:54,,2.11.6,Asian Parent
70550,aff5fa46-bcef-43bd-9f49-ead68ce94bd2,good,5,2019-06-30 18:54:16,"Hi, Parent! Thank you for your positive feedback. We hope our app features may help you and your baby. Anyway, don’t forget to invite your gang to join theAsianparent app community too! 😊",2.3.1,Asian Parent
25195,8c5eed2f-fb7e-486b-a031-d93c5dcf139a,Love this,5,2021-10-12 12:18:23,"Hai, Parent! Terima kasih atas review positifnya ❤️ Semoga Anda bisa menggunakan semua fitur dalam aplikasi theAsianparent dengan baik ya! Jangan lupa beritahu teman Anda untuk bergabung di komunitas kami. 😊",2.9.31,Asian Parent
62057,04c27090-c219-4ac9-b7de-a5cb38131b4c,😍😍😍😍,5,2021-08-23 19:47:12,,2.9.26,Asian Parent
39345,f5d86bb0-638a-4dcb-ab06-02d4d9f84f1f,sangat membantu.,4,2020-11-03 14:08:02,"Dear Parent, terima kasih untuk dukungan Anda. Jika Anda menyukai app kami, jangan lupa kasih bintang 5★ ya! Oh ya, undang teman-teman kalian untuk gabung dalam komunitas theAsianparent juga! 😊",2.7.12,Asian Parent
30017,a69482d4-82d6-4613-b61a-0707c7b60a6a,Sangat bagus,2,2021-05-29 14:45:43,"Halo, Parent! Terima kasih atas review positifnya. Jika Anda menyukai aplikasi ini, boleh dong dikasih bintang 5★ sekalian? Ehehe. Semoga Anda bisa memanfaatkan semua fitur di aplikasi theAsianparent! Oh ya, jangan lupa ajak teman-teman untuk bergabung di komunitas kami ya. 😊",2.8.3,Asian Parent
80518,6ade3bde-7141-420f-907e-46b675c5c42d,Terbaiiikkkkkk !!!! ❤❤❤,5,2023-08-23 11:16:40,"Hi Mums, Terima kasih telah menggunakan Teman Bumil. Jangan lupa share pengalaman Mums di IG Mums dan follow terus IG @temanbumil, informasi seputar parenting dan tumbuh kembang si Kecil follow juga IG @teman_parenting. Terus aktif karena banyak penawaran serta giveaway menarik lainnya dari Teman Bumil, terima kasih:)",2.19.7,Teman Bumil
31187,33297db4-69fd-4f08-b1cd-d1252843fa77,Bagus sekalii,5,2021-04-27 08:37:18,"Halo, Parent! Terima kasih atas review positifnya. Kami senang dapat membantu Anda mendapatkan informasi akurat dalam membantu perkembangan dan pertumbuhan si kecil. Semoga Anda dapat menggunakan semua fitur di aplikasi theAsianparent dengan baik ya! Jangan lupa beritahu teman Anda untuk bergabung di komunitas kami. 😊",2.9.5,Asian Parent
17249,90806591-8af6-43d7-88c3-4b8b608bff86,sangat membantu dan mendapat ilmu dr aplikasi ini,5,2022-03-01 15:55:29,"Halo, Bunda. Terima kasih atas review positifnya. Kami senang Bunda bisa mendapatkan manfaat positif dari aplikasi ini. Jangan ragu juga untuk bertanya seputar kehamilan, persiapan proses persalinan, tips pernikahan, rekomendasi makanan anak, gizi balita dan topik lainnya kepada para pakar di komunitas kami 😊
",2.10.13,Asian Parent
22153,a1d85a0d-c9c1-4a06-8668-cf9390441922,Alhamdulillah banyak membantu,4,2021-11-30 10:48:39,"Hai, Parent! Terima kasih atas review positifnya ❤️ Semoga Anda bisa menggunakan semua fitur aplikasi theAsianparent dengan baik ya! Jangan ragu juga untuk bertanya seputar kehamilan, persiapan proses persalinan, tips pernikahan, rekomendasi makanan anak, gizi balita dan topik lainnya kepada para pakar di komunitas kami 😊",2.9.30,Asian Parent
25681,1aa80607-1107-447f-b704-1889bf9f9e56,"Aplikasi theAsianparent snagat membantu selama program kehamilan, dpt pelajaran dr brita² yg ada di program kehamilan theAsianparent trimakasih",5,2021-09-28 19:56:17,"Halo, Parent! Terima kasih atas review positifnya. Kami senang Anda bisa mendapatkan manfaat positif dan informasi akurat seputar kehamilan dan/atau parenting dari aplikasi ini. Semoga Anda dapat memanfaatkan semua fitur di aplikasi theAsianparent dengan baik ya! Jangan lupa beritahu teman untuk bergabung di komunitas kami. 😊",2.9.30,Asian Parent
83792,4ac5a435-1d73-4c20-b637-0e3f9dacae70,Suka!!!,5,2021-10-26 20:04:27,"Hi Mums, Terima kasih telah menggunakan Teman Bumil. Jangan lupa share pengalaman Mums di IG Mums dan follow terus IG @temanbumil, untuk informasi seputar parenting dan tumbuh kembang si Kecil follow juga IG @teman_parenting. Terus aktif dan pantau penawaran serta giveaway menarik lainnya dari Teman Bumil, terima kasih ya Mums :)",2.6.0,Teman Bumil
33079,2aa11bc0-ce25-446a-8228-22d1980a9e23,Good,5,2021-03-28 02:30:11,"Halo, Parent! Terima kasih atas review positifnya. Kami senang Anda bisa mendapatkan manfaat positif dan informasi akurat seputar kehamilan dan/atau parenting dari aplikasi ini. Semoga Anda dapat memanfaatkan semua fitur di aplikasi theAsianparent dengan baik ya! Jangan lupa beritahu teman untuk bergabung di komunitas kami. 😊",2.9.1,Asian Parent
39283,3d41fed4-f29b-4c94-87aa-2842a14530b4,😊😊😊,5,2020-11-04 20:29:30,"Halo, Parent! Terima kasih atas review positifnya. Kami senang dapat membantu Anda mendapatkan informasi akurat dalam membantu perkembangan dan pertumbuhan si kecil. Semoga Anda dapat menggunakan semua fitur di aplikasi theAsianparent dengan baik ya! Jangan lupa beritahu teman Anda untuk bergabung di komunitas kami. 😊",,Asian Parent
67659,b68345c8-fb04-4bac-bb24-3136ada0b7eb,"Very informative. Whenever I read an article via facebook. It would suggest me to read/or continue reading it via the app. I think it would be better if the landing page would be at the same article I am reading. Downloaded the app already but everytime I am redirected to the app, I have to re-search the article all pver again.",3,2020-04-07 13:18:12,"Hi, Parent. We apologize for the inconvenience. Our team has now fixed the issue. Please clear your cache and try once again. If you still experience the same problem after clearing the cache, do email us at app.feedback@theasianparent.com. Thank you and please encourage us with a 5★ rating! 😊",2.6.2,Asian Parent
28825,786ae3d4-487f-4dc9-b73e-d70e546c772d,Mantullllll 👍👍👍👍🥰🥰🥰🥰🥰⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐,5,2021-07-10 00:53:20,"Hai, Parent! Terima kasih atas review positifnya ❤️ Semoga Anda bisa menggunakan semua fitur dalam aplikasi theAsianparent dengan baik ya! Jangan lupa beritahu teman Anda untuk bergabung di komunitas kami. 😊",2.9.17,Asian Parent
9789,e27fe8d9-58b8-44e1-825a-c6e0ca995a23,Sangat membantu untuk firstmom,5,2022-11-12 08:22:03,"Hai, Parent Lisa Angga! Terima kasih atas review positifnya. Kami senang bahwa Anda merasa app ini dapat membantu Anda. Semoga Parent bisa memanfaatkan semua fitur di aplikasi theAsianparent dengan baik ya! Jangan lupa beritahu teman Parent untuk bergabung di komunitas kami. 😊
",2.12.11,Asian Parent
66336,779fac84-5810-477c-ab72-7f8466676495,Best app,5,2020-08-30 17:07:38,"Hi, Parent! Thank you for your positive feedback. We hope our app keeps helping you and your baby grow and thrive as you cross many beautiful milestones together. Please invite your squad to join theAsianparent app community too! 😊",2.7.7,Asian Parent
10536,7c3d692f-ae87-45ac-9376-761d8b86ab3e,Baik,5,2022-10-06 04:46:05,"Hai, Parent Roudhoh Maghfiroh! Terima kasih atas review positifnya ❤️ Semoga Anda bisa menggunakan semua fitur aplikasi theAsianparent dengan baik ya! Jangan ragu juga untuk bertanya seputar perkembangan janin, persiapan kehamilan, tips pregnancy, rekomendasi makanan anak, gizi balita dan topik ibu hamil dan menjadi parent di komunitas kami 😊
",2.12.7,Asian Parent
80874,5777cc71-e331-4a81-ae57-31af8ecfc636,"Aplikasi ini sangat membantu sekali utk mengetahui tumbuh kembang janin dalam kandungan,,apalagi fiturnya lengkap dan banyak menambah pengetahua seputar kehamilan",5,2023-04-16 04:08:31,"Hi Mums, Terima kasih telah menggunakan Teman Bumil. Jangan lupa share pengalaman Mums di IG Mums dan follow terus IG @temanbumil, untuk informasi seputar parenting dan tumbuh kembang si Kecil follow juga IG @teman_parenting. Terus aktif dan pantau penawaran serta giveaway menarik lainnya dari Teman Bumil, terima kasih Mums:)",2.18.8,Teman Bumil
64663,fb78d8b4-0700-4b35-8311-bb20cb3fd383,So much useful in my pregnacy journey.,5,2021-01-26 09:35:15,"Hi, Parent! Thank you for your positive feedback. We are happy that you find our app helpful as you navigate the exciting world of parenting! Because parenting is much more fun with friends, do invite them to join theAsianparent app community too!",2.8.2,Asian Parent
127,98ee234f-82c4-4fb0-ae9e-eaa08c87ebcf,jelek bnaget ..selalu keluar,1,2024-08-11 10:36:05,,4.1.5,Diary Bunda
28861,4787c0a2-6a69-4653-a0ca-b9d982f8864d,Terimakasih sangat membantu,5,2021-07-07 22:51:24,"Hai, Parent! Terima kasih atas review positifnya. Kami senang bahwa Anda merasa app ini berguna untuk Anda. Semoga Anda bisa memanfaatkan semua fitur di aplikasi theAsianparent dengan baik ya! Jangan lupa beritahu teman Anda untuk bergabung di komunitas kami. 😊",2.9.5,Asian Parent
30228,cdbf5e77-4672-4a44-b3e2-76c754bb5891,Bagus sekali aplikasi ini sangat membantu.. jangan takut untuk download ..,5,2021-05-22 05:20:12,"Hai, Parent! Terima kasih atas review positifnya ❤️ Semoga Anda bisa menggunakan semua fitur dalam aplikasi theAsianparent dengan baik ya! Jangan lupa beritahu teman Anda untuk bergabung di komunitas kami. 😊",2.9.7,Asian Parent
22683,fa7d33dd-ae0b-480e-8d2a-48653693f02e,"Aplikasi theAsianparent sangat membantu, sangat bagus dan sangat mudah digunakan, bisa lebih tahu tumbuh kembang anak, bisa cari resep MPASI yg enak, bisa lebih tahu kebutuhan anak, bisa tahu obat yg perlukan buat anak saat anak sakit",5,2021-11-22 10:45:46,"Halo, Parent! Terima kasih atas review positifnya. Kami senang dapat membantu Anda mendapatkan informasi mengenai perkembangan dan pertumbuhan anak Anda. Semoga Anda juga dapat menggunakan fitur di aplikasi theAsianparent (seperti fitur cari nama bayi, resep dll).dengan baik ya.😊
",2.10.5,Asian Parent
49586,953e06ec-c9f2-4f04-8750-3e2dd4ea0d0f,Oyes,5,2019-10-25 16:07:42,"Hi, Albest! Terima kasih atas review positifnya. Semoga Anda bisa menggunakan semua fitur dalam aplikasi theAsianparent dengan baik ya! Jangan lupa beritahu teman Anda untuk bergabung di komunitas kami. 😊",2.3.3,Asian Parent
67871,9dff5e82-f6f2-466f-a7bb-4332f31d4f67,Great App,5,2020-03-20 09:47:47,"Hi, Parent! Thank you for your positive feedback. We hope our app features may help you and your baby. Anyway, don’t forget to invite your gang to join theAsianparent app community too! 😊",,Asian Parent
57919,41dfc245-215f-4ed9-b89e-02d60dc573a8,"Life Savior! ✨👌You are helping a lot of Mommies, soon to be mommies and want to be mommies 💞 so much love for this app.",5,2023-04-02 12:07:49,,2.12.21,Asian Parent
7932,62669ee4-5a0a-4389-a0ea-46151d1ab10c,Sangat mambantu untuk newmom. Yang ingin tau perkembangan sang buah hati. Pakai aplikasi ini semenjak tau hamil.,5,2023-02-21 11:29:02,"Halo, Parent Budi Yuliyanto! Terima kasih atas review positifnya. Kami senang dapat membantu Anda mendapatkan informasi dari mulai perkembangan janin, masalah ibu hamil dan pertumbuhan anak. Semoga Anda juga dapat menggunakan fitur di aplikasi theAsianparent (seperti fitur pemantau kehamilan, cari nama bayi, resep dll.) dengan baik ya.😊",,Asian Parent
11134,626c7158-09ae-471e-9daa-ad202b259401,Sukaaaaa,5,2022-09-22 11:18:07,"Hai, Parent Ghaida Farhah! Terima kasih atas review positifnya ❤️ Semoga Anda bisa menggunakan semua fitur aplikasi theAsianparent dengan baik ya! Jangan ragu juga untuk bertanya seputar perkembangan janin, persiapan kehamilan, tips pregnancy, rekomendasi makanan anak, gizi balita dan topik ibu hamil dan menjadi parent di komunitas kami 😊
",2.12.7,Asian Parent
28580,c31eec6e-5b04-4090-89fc-ae4e28813895,Aplikasi ini bagus banget untuk melihat perkembangan janin dan banyak tips dan artikel untuk menambah wawasan ibu.,5,2021-07-17 07:10:38,"Halo, Parent! Terima kasih atas review positifnya. Kami senang dapat membantu Anda mendapatkan informasi akurat dalam membantu perkembangan dan pertumbuhan si kecil. Semoga Anda dapat menggunakan semua fitur di aplikasi theAsianparent dengan baik ya! Jangan lupa beritahu teman Anda untuk bergabung di komunitas kami. 😊",2.9.17,Asian Parent
95335,903d5cc9-c86d-46a4-ac09-ef4fa17b067e,"Aplikasi ini sangat membantu saya dalam menjalani pengasuhan dengan lebih nyaman, percaya diri, dan mindfull. Berbagai fiturnya bukan hanya memudahkan ibu untuk memantau tumbang anaknya, namun juga memberi banyak insight dan pelajaran baru dalam pengasuhan. Suka bangett ❤️",5,2023-08-22 17:20:55,"Hi Bunda Dinda Indah, terima kasih atas ulasan yang sangat positif. Kami sangat senang mendengar bahwa aplikasi kami telah memberikan Bunda pengalaman pengasuhan lebih nyaman, percaya diri, dan penuh kesadaran. Semoga fitur yang ada bisa memberikan wawasan dan pembelajaran baru dalam setiap proses pengasuhan Bunda ya❤️",2.6.1,Teman Bumil
1738,c5c6f7a6-854d-42d7-a383-9e4fda9a3e43,info yg sngt bagus,5,2020-02-12 13:44:26,,,Diary Bunda
56262,ea026686-29ba-4f20-b051-63351fce4479,Best Asian parent nie Bagus utk ibu2 mudah yg tak Tahu banyak tntg pregnant atau pnjgaan bby .. terima kasih Asian parent bnyk mmbntu,5,2024-05-26 23:05:40,"Hi, Eylla! 🤩 Wah, terima kasih atas review yang anda kongsikan! Kami gembira aplikasi theAsianparent membantu anda menjalani perjalanan kehamilan/keibubapaan dengan lancar! 👍🏻 Kami berharap anda terus menggunakannya dan jangan lupa, ajak sekali geng anda untuk sertai komuniti theAsianparent, ya!",3.0.6,Asian Parent
79427,331dfabc-7697-4e4a-bde1-723a761b6241,Aplikasi ini membantu bgt buat ibu-ibu yg tdk memgerti cara menghitung kehamilan...,5,2023-12-22 06:07:42,"Hi Mums, Terima kasih telah menggunakan Teman Bumil. Jangan lupa share pengalaman Mums di IG Mums dan follow terus IG @temanbumil, informasi seputar parenting dan tumbuh kembang si Kecil follow juga IG @teman_parenting. Terus aktif karena banyak penawaran serta giveaway menarik lainnya dari Teman Bumil, terima kasih:)",2.20.0,Teman Bumil
68221,56c41ced-e3e7-424e-b54d-9d8f9f8c132c,Very good app,5,2020-02-25 14:50:27,"Hi Renzie! Thank you for your positive feedback. We really appreciate it! ❤️ We hope our app features will help you and your family in many ways. Anyway, don’t forget to invite your gang to join theAsianparent app community too! 😊",2.6.2,Asian Parent
64852,a63111fe-7dc4-4580-b3d2-8a7a2b8ab0c4,Very informative,5,2021-01-10 12:48:46,"Hi, Parent! Thank you for your positive feedback. We are happy that our app is giving you useful parenting information. We hope our app continues to help you on your parenting journey. Please encourage us further with a 5★ review, and do invite your friends to join theAsianparent app community! 😊",2.8.2,Asian Parent
75359,e1576f9b-b959-4dad-ba5e-2e2cbf910e44,aku suka bget ama apkekasi ini memuaskan 😇,5,2019-12-23 21:00:22,"Hallo Mama Teti MeriAg, terima kasih sudah mempercayai aplikasi Hallobumil sebagai pendamping perencanaan dan masa kehamilan Mama serta tumbuh kembang Si Kecil. Salam hangat :) ^np",,Hallobumil
