,reviewId,content,score,at,replyContent,appVersion,application
73911,e00a400c-bc08-4b6b-ac4e-74d46e164546,Bermanfaat sekali,5,2021-05-04 09:43:34,"Hallo Mama Isna Jumaningsih, terima kasih atas ulasan dan lima bintangnya. Semoga aplikasi Hallobumil dapat bermanfaat sebagai pendamping kehamilan, dan tumbuh kembang Si Kecil nantinya. Sehat selalu :) ^np

",2.0.19,Hallobumil
81766,adb7e51f-ed01-4a32-ac43-ea72bb3a1eee,"Aplikasi yg sangat bermanfaat cocok untuk promil, ibu hamil seperti saya, busui, dan ibu yg baru belajar untuk mengurus anak. Apalagi tampilan fiturnya bikin menarik ga gampang bosan dilihat, kita bisa liat perkembangan bayi dari gambarnya dan lengkap dengan penjelasannya. Aplikasi simple, mudah digunakan, bisa banyak belajar hal baru dari aplikasi ini, bisa sharing , apalagi banyak give away yg dibagikan bisa berguna dan bermanfaat untuk para ibu ibu yg pasti buat para ibu2 yg menang bahagia",5,2022-10-14 20:17:33,"Hi Mums, Terima kasih telah menggunakan Teman Bumil. Jangan lupa share pengalaman Mums di IG Mums dan follow terus IG @temanbumil, untuk informasi seputar parenting dan tumbuh kembang si Kecil follow juga IG @teman_parenting. Terus aktif dan pantau penawaran giveaway menarik dari Teman Bumil, terima kasih Mums:)",2.16.0,Teman Bumil
18954,1870ce52-b157-4503-9250-86456634ac02,Aplikasi ini sangat membantu sekali buat ibu hamil saya suka,5,2022-01-29 06:31:52,"Hai, Parent! Terima kasih atas review positifnya ❤️ Semoga Anda bisa menggunakan semua fitur aplikasi theAsianparent dengan baik ya! Jangan ragu juga untuk bertanya seputar kehamilan, persiapan proses persalinan, tips pernikahan, rekomendasi makanan anak, gizi balita dan topik lainnya kepada para pakar di komunitas kami 😊",2.9.30,Asian Parent
1452,a05fb535-7325-41a1-b375-c10005e8b990,bagus,5,2020-06-19 12:28:17,,,Diary Bunda
84722,33873d99-a312-4e6b-af96-e2b3e0a6f004,Baru mau coba kalu bangus yah tak kasih 5,3,2021-02-22 22:33:10,"Hi Mum, Terima kasih telah menyukai dan menggunakan aplikasi Teman Bumil. Jangan lupa share pengalaman Mum di Instagram Mum dan follow terus IG @temanbumil. Terus aktif dan pantau penawaran serta giveaway menarik lainnya dari Teman Bumil, kami tunggu Bintang Limanya ya Mum, terima kasih :)",,Teman Bumil
26311,3b5ced04-9d61-4675-a98d-f042006f3286,Sangat bagus,5,2021-09-16 10:49:56,"Hai, Parent! Terima kasih atas review positifnya ❤️ Semoga Anda bisa menggunakan semua fitur dalam aplikasi theAsianparent dengan baik ya! Jangan lupa beritahu teman Anda untuk bergabung di komunitas kami. 😊",2.9.28,Asian Parent
87136,6c5a3e46-15f4-44ca-a6d8-1b014c72998d,saya jadi tahu dengan perkembangan anak saya,5,2019-07-20 20:09:48,"Hi Mums Zendri Ermayulia!

Terima kasih telah menyukai aplikasi Teman Bumil. Apabila Mums mempunyai pertanyaan atau feedback seputar Teman Bumil, bisa dikirimkan ke info@temanbumil.com :)",1.8.6,Teman Bumil
5719,c3772bbf-982b-497a-a1b4-51b6dc9a55b0,Good,5,2023-11-12 05:19:58,"Hai, Parent Jihan Savira! Terima kasih atas review positifnya ❤️ Semoga Anda bisa menggunakan semua fitur aplikasi theAsianparent dengan baik ya! Jangan ragu juga untuk bertanya seputar perkembangan janin, persiapan kehamilan, tips pregnancy, rekomendasi makanan anak, gizi balita dan topik ibu hamil dan menjadi parent di komunitas kami 😊
",2.13.3,Asian Parent
76722,0862cab4-6aa2-4ec1-b02c-738aedbc4939,banyak membantu,5,2019-04-24 08:33:25,"Dear Bunda Siska Amalia, terima kasih atas ulasannya. Semoga aplikasi Hallobumil dapat terus bermanfaat. Sehat selalu :) ^ms",1.19,Hallobumil
73218,8bc2a00d-9ca3-4f8a-ada1-61e0e9514210,"Makasih, karna apk ini aku jadi tau perkembangan janin ku, dan gak perlu ribet ribet ngitung umur kandungan sendiri😍",5,2021-12-24 10:45:56,"Hallo Mama Nhouna Inhyunk, terima kasih atas ulasan dan lima bintangnya. Semoga aplikasi Hallobumil dapat bermanfaat sebagai pendamping kehamilan, dan tumbuh kembang Si Kecil nantinya. Sehat selalu :) ^np

",2.2.4,Hallobumil
38730,65112e12-ed5e-4c16-9d6a-ca92c4c0bb96,Okeeee,5,2020-11-20 08:50:47,"Hai, Parent! Terima kasih atas review positifnya ❤️ Semoga Anda bisa menggunakan semua fitur dalam aplikasi theAsianparent dengan baik ya! Jangan lupa beritahu teman Anda untuk bergabung di komunitas kami. 😊",2.7.12,Asian Parent
85266,c48aed15-7499-40ed-9270-e21f35ca7d76,Sangat membantu,5,2020-09-30 09:40:25,"Hi Mums, 
Terima kasih telah menyukai aplikasi Teman Bumil. Jangan lupa update versi baru Teman Bumil dan share pengalaman Mums di Instagram Mums dan follow terus IG @temanbumil. Terus aktif dan pantau penawaran serta giveaway menarik lainnya dari Teman Bumil ya Mums. Terima kasih :)",,Teman Bumil
85064,227037ae-3a93-484f-beee-e67b393062d9,Sangat membantu,5,2020-11-06 15:39:59,"Hi Mums, Terima kasih telah menyukai dan menggunakan aplikasi Teman Bumil. Jangan lupa share pengalaman Mums di Instagram Mums dan follow terus IG @temanbumil. Terus aktif dan pantau penawaran serta giveaway menarik lainnya dari Teman Bumil. Terima kasih juga Bintang Limanya ya Mums :)",2.0.6,Teman Bumil
57064,1e55a5a8-3cd4-4c49-9f26-671fdea85a13,Good information,5,2023-11-05 07:05:22,"Hi Parent! Your glowing review warms our heart - we really appreciate it ❤️ We hope our exclusive pregnancy & baby tracker continue to find our app useful as we accompany you on your parenting journey. We promise to keep improving your experience, too. Don't forget to invite your fellow parents and friends to join theAsianparent app community! 😊",,Asian Parent
52458,78b10ca5-2f28-470f-8dfe-a67356325407,masih ga ngerti cara masuk nya ada perkiraan lahiran menurut dokter sama hpl gmna itu cara masuk nya?,5,2019-06-20 13:16:52,"Halo, Bunda Melani. Terima kasih atas feedback-nya. Bunda bisa klik icon ibu hamil di bagian bawah pada layar app. Lalu, klik ikon pensil yang ada di sebelah gambar bayi. Bunda bisa memasukkan HPL versi dokter atau HPHT versi Bunda. Kalau masih bingung, coba email app.id@theasianparent.com ya, Bun. Terima kasih!",2.3.1,Asian Parent
59320,32ec4eb7-0e29-4e1b-b04e-b0304cb32986,Sangat membantu,5,2022-07-19 07:48:24,"Hai, Parent margaretta ana! Terima kasih atas review positifnya ❤️ Semoga Anda bisa menggunakan semua fitur aplikasi theAsianparent dengan baik ya! Jangan ragu juga untuk bertanya seputar kehamilan, persiapan proses persalinan, tips pernikahan, rekomendasi makanan anak, gizi balita dan topik lainnya kepada para pakar di komunitas kami 😊",2.11.6,Asian Parent
16420,cc8dd375-5a50-45b4-a479-7f30d0323c92,Sangat membantu untuk informasi si kecil,5,2022-03-18 19:06:33,"Halo, Bunda. Terima kasih atas review positifnya. Kami senang Bunda bisa mendapatkan manfaat positif dari aplikasi ini. Jangan ragu juga untuk bertanya seputar kehamilan, persiapan proses persalinan, tips pernikahan, rekomendasi makanan anak, gizi balita dan topik lainnya kepada para pakar di komunitas kami 😊",2.9.31,Asian Parent
21364,f4e318e7-1123-4791-b236-a1c8a90ccb27,"Aplikasinya bagus bgt, fitur2 didalamnya pun lengkap. Bnyk info menarik, tips&trik, lelang, giveaway, tukar poin, ilmu parenting sampai fitur buat nyari ide nama baby juga ada! Super lengkap, membantu bgt dan apapun yg dishare semuanya bermanfaat bgt. Aplikasi terbagus sih menurutku, isinya jg komunitas² yg berbobot semua. Ah sukak bgt 🤍 Alhamdulillah aku udh ikutan gabung jd member VIP dan banyak bgt keuntungannya 🤍 Thankyou TheAsianParent 🤍",5,2021-12-16 12:28:59,"Hai, Parent! Terima kasih atas review positifnya ❤️ Semoga Anda bisa menggunakan semua fitur dalam aplikasi theAsianparent dengan baik ya! Jangan lupa beritahu teman Anda untuk bergabung di komunitas kami. 😊",2.9.5,Asian Parent
64050,6463c431-5fca-4538-b700-fb2dc4bcbb4d,It more helpful to me,5,2021-03-24 11:02:23,"Hi, Parent! Thank you for your positive feedback. We are happy that you find our app helpful as you navigate the exciting world of parenting! Because parenting is much more fun with friends, do invite them to join theAsianparent app community too!",2.9.1,Asian Parent
7876,d2133066-ae36-4871-8830-a45a5834cca8,Alhamdulillah app membatu banget yg AQ Bru pertama..,5,2023-02-18 23:46:10,"Hai, Parent Riska Astuti! Terima kasih atas review positifnya. Kami senang bahwa Anda merasa app ini dapat membantu Anda. Semoga Parent bisa memanfaatkan semua fitur di aplikasi theAsianparent dengan baik ya! Jangan lupa beritahu teman Parent untuk bergabung di komunitas kami. 😊
",2.12.20,Asian Parent
77524,fea846e2-c998-477e-9137-8bd9d2027613,Kok udah didownload tp ga bisa dibuka sih,2,2018-04-28 19:06:42,"Dear Ayah/Mama Pengguna Google, mengenai kendala tersebut mohon dapat perbarui aplikasi terlebih dahulu dengan versi terbaru saat ini. Kemudian dipastikan koneksi/jaringan stabil. Apabila masih mengalami kendala, mohon dapat informasikan keterangan error dan juga tampilan kendalanya melalui email hallobumil@gmail.com. Salam hangat :) ^in",,Hallobumil
45861,28f235ec-c425-43b1-870b-9a27b3cea674,Sangat membantu dan informatif💞,5,2020-03-02 20:54:18,"Hi, Bunda! Terima kasih atas review positifnya. Kami senang bahwa Anda merasa app ini berguna untuk Anda. Semoga Bunda memanfaatkan semua fitur di aplikasi theAsianparent dengan baik ya! Jangan lupa beritahu teman Bunda untuk bergabung di komunitas kami. 😊",2.4.2,Asian Parent
72021,95b903cd-4397-4abb-89fa-82c4444045b0,"Hallo, tolong kasih tau saya bagaimana menghapus foto di album aplikasi ini?",4,2024-11-29 13:21:05,"Hallo Mama Silvia, silakan dapat masuk ke fitur ""Album Foto Kita"", kemudian pilih foto atau momen yang ingin Mama hapus, klik tanda 3 di sebelah kanan foto, klik hapus momen ini, maka nantinya foto akan terhapus. Jika Mama mengalami kendala lain nya, silakan diinformasikan melalui layanan whatsapp kami di nomor 085134954019 ^dt",,Hallobumil
44319,23b05be7-ce82-4cd2-ba53-08791eef6492,Sangat membantu sekali,5,2020-04-30 17:41:53,"Hai, Parent! Terima kasih atas review positifnya. Kami senang bahwa Anda merasa app ini berguna untuk Anda. Semoga Anda bisa memanfaatkan semua fitur di aplikasi theAsianparent dengan baik ya! Jangan lupa beritahu teman Anda untuk bergabung di komunitas kami. 😊",2.6.2,Asian Parent
86364,5544c3f9-05f0-4b04-979f-daa03a0b6339,Aplikasi ini sangat membantu ibu hamil untuk memperoleh informasi yang bermanfaat untuk bumil dan baby,5,2019-10-04 18:09:32,"Hi Mums!
Terima kasih telah menyukai aplikasi Teman Bumil. Apabila Mums mempunyai pertanyaan atau feedback seputar Teman Bumil, bisa dikirimkan ke info@temanbumil.com :)",1.9.5,Teman Bumil
19206,b7e7a105-dfdf-4ed3-aea3-0f0d9fa2ea04,Good,4,2022-01-24 13:36:19,"Hai, Parent! Terima kasih atas review positifnya ❤️ Semoga Anda bisa menggunakan semua fitur aplikasi theAsianparent dengan baik ya! Jangan ragu juga untuk bertanya seputar kehamilan, persiapan proses persalinan, tips pernikahan, rekomendasi makanan anak, gizi balita dan topik lainnya kepada para pakar di komunitas kami 😊",2.10.7,Asian Parent
81559,23bfd366-8b48-4a38-bfe9-2dc098067bad,"Alhamdulillah jumpa aplikasi Teman Bumil, jadi ga bingung waktu lihat hasil tes dua garis, banyak tips dan pengetahuan yg perlu aku ketahui sebagai bunda muda, ya allah semoga aku dan calon bayiku sehat selalu, aamiin..",5,2022-10-19 19:26:02,"Hi Mums, Terima kasih telah menggunakan Teman Bumil. Jangan lupa share pengalaman Mums di IG Mums dan follow terus IG @temanbumil, untuk informasi seputar parenting dan tumbuh kembang si Kecil follow juga IG @teman_parenting. Terus aktif dan pantau penawaran giveaway menarik dari Teman Bumil, terima kasih Mums:)",2.16.0,Teman Bumil
81245,898c36aa-42e9-42af-b2ab-825795add26a,"Suka banget aplikasi ini, bukan hanya bisa memantau perkembangan janin di dalam kandungan saja tapi juga seputar promil dan tumbuh kembang anak sampai balita loh.. informasi nya superr lengkap.. visual nya menarik, Banyak promosi dan juga hadiah"" menarik, juga ada komunitas di dalamnya ..benar"" sesuai namanya ""TEMAN BUMIL"" benar-benar bisa menjadi teman untuk para bunda tercinta..luvv teman bumil...",5,2022-12-26 17:23:18,"Hi Mums, Terima kasih telah menggunakan Teman Bumil. Jangan lupa share pengalaman Mums di IG Mums dan follow terus IG @temanbumil, untuk informasi seputar parenting dan tumbuh kembang si Kecil follow juga IG @teman_parenting. Terus aktif dan pantau penawaran serta giveaway menarik lainnya dari Teman Bumil, terima kasih ya Mums:)",2.18.1,Teman Bumil
62610,5aa3a0ee-ebb5-48c6-b4ab-668058ae358c,Lots of for us mother's,5,2021-06-25 16:41:04,"Hi, Parent! Thank you for your positive feedback. We are happy that our app is giving you useful parenting information. We hope our app continues to help you on your parenting journey. Please encourage us further with a 5★ review, and do invite your friends to join theAsianparent app community! 😊",2.9.13,Asian Parent
30413,13c04c79-70c1-4e96-82f5-00bb7757f991,👍👍👍,5,2021-05-16 13:53:46,"Hai, Parent! Terima kasih atas review positifnya ❤️ Semoga Anda bisa menggunakan semua fitur dalam aplikasi theAsianparent dengan baik ya! Jangan lupa beritahu teman Anda untuk bergabung di komunitas kami. 😊",2.9.7,Asian Parent
19025,24d507a0-3697-4a30-86cd-a173a33db656,👏👏👏,5,2022-01-27 08:16:49,"Hai, Parent! Terima kasih atas review positifnya ❤️ Semoga Anda bisa menggunakan semua fitur aplikasi theAsianparent dengan baik ya! Jangan ragu juga untuk bertanya seputar kehamilan, persiapan proses persalinan, tips pernikahan, rekomendasi makanan anak, gizi balita dan topik lainnya kepada para pakar di komunitas kami 😊",2.10.7,Asian Parent
23791,0456ccb4-49a8-47c0-a9d6-2f75975a8e5d,"Dari banyaknya pilihan paling jatuh hati sama app ini, lengkap bgt jadi ga khawatir mantau perkembangan kehamilan, banyak fitur lengkap mulai dari lihat perkembangan janin, bisa pantau tendangan janin, banyak informasi kehamilan & parenting, sampe bisa cari nama untuk baby🤭, banyak resep yg aman buat bumil, ada recommen belanja, fitur obat juga, trus bisa saling cerita pengalaman parenting & kehamilan, yg paling keren kita bisa ngumpulin poin yg di tukar jadi gift, banyak giveaway juga loh🥰❤",5,2021-11-06 23:13:37,"Halo, Parent! Terima kasih atas review positifnya. Kami senang dapat membantu Anda mendapatkan informasi mengenai perkembangan dan pertumbuhan anak Anda. Semoga Anda juga dapat menggunakan fitur di aplikasi theAsianparent (seperti fitur cari nama bayi, resep dll).dengan baik ya.😊",2.10.1,Asian Parent
75294,e8728547-b631-40c0-88e7-d5521e1a3aff,sangat membantu bumil.. banyak pembelajaran n pengetahuan😊,4,2020-02-16 20:47:40,"Hallo Mama Apri Yadi, terima kasih atas ulasannya. Semoga aplikasi Hallobumil dapat terus bermanfaat sebagai pendamping kehamilan Mama dan tumbuh kembang Si Kecil. Salam hangat :) ^np",,Hallobumil
89600,aad10ee4-03af-4308-b878-d38670b16833,"Loading splash screennya lama. Harus restart HP dulu, baru bisa buka aplikasi. Kemudian tidak bisa login sama sekali. Loading terus, gaada respon apapun. Bad experience. Semoga bisa diperbaiki lagi. Terimakasih.",1,2022-02-12 18:14:26,"Hi Mums, Mohon maaf atas ketidaknyamanannya. Silahkan di coba kembali ya Mums. Apabila sudah bisa yuk tingkatnya review pada palyastore namun apabila masih mengalami kendala mohon informasi data berikut guna dilakukan pengecekan : 1. Screenshot. 2. No HP &email terdaftar. 3. Tipe HP&versi OS. Data dapat dkirimkan ke email info@temanbumil.com",2.10.0,Teman Bumil
23335,c46ef740-c094-4ae8-94b4-8f7a99bd2805,🥰,5,2021-11-13 09:39:47,"Hai, Parent! Terima kasih atas review positifnya ❤️ Jangan lupa beritahu teman Anda untuk bergabung di aplikasi theAsianparent. 😊 Jangan ragu juga untuk bertanya seputar kehamilan, persiapan proses persalinan, tips pernikahan, rekomendasi makanan anak, gizi balita dan topik lainnya kepada para pakar di komunitas kami 😊",2.9.30,Asian Parent
18333,0215cb81-2e8d-48d0-b908-9df2f2f6479a,Bagusss,5,2022-02-08 18:44:40,"Hai, Parent! Terima kasih atas review positifnya ❤️ Semoga Anda bisa menggunakan semua fitur aplikasi theAsianparent dengan baik ya! Jangan ragu juga untuk bertanya seputar kehamilan, persiapan proses persalinan, tips pernikahan, rekomendasi makanan anak, gizi balita dan topik lainnya kepada para pakar di komunitas kami 😊",2.10.7,Asian Parent
87026,598eced3-c95e-47c6-9e57-0bdb99718e6c,Mantul,5,2019-09-05 12:24:12,,1.9.2,Teman Bumil
75086,7d42d47f-c384-40d0-83ce-d18cf860b6dc,Sangat bermanfaat.,5,2020-07-03 11:01:26,"Hai Mama Sekar Ghianty Nugraha, terima kasih atas ulasan dan lima bintangnya. Semoga aplikasi Hallobumil dapat terus bermanfaat sebagai pendamping perencanaan kehamilan, masa kehamilan, dan tumbuh kembang Si Kecil. Semoga sehat selalu :) ^np",1.24.13,Hallobumil
24418,eb79fe71-3476-446b-a01b-96f9349e7729,Oke,5,2021-10-27 09:51:10,"Hai, Parent! Terima kasih atas review positifnya ❤️ Semoga Anda bisa menggunakan semua fitur dalam aplikasi theAsianparent dengan baik ya! Jangan lupa beritahu teman Anda untuk bergabung di komunitas kami. 😊",,Asian Parent
11275,63dbb5b6-8f70-4962-83a7-d0980a1e035e,"Bermanfaat banget ini aplikasinya. Banyak bantu apalagi buat calon ibu baru. Bisa tanya jawab sama moms lainnya, bisa dapet pemberitahuan ilmu2 seputar kehamilan dan parenting, dan yang terpenting bisa tau perkiraan perkembangan kondisi bayi. Thx banget deh buat TAP aku jadi ga susah buat nyari info, karena ga dicari pun TAP selalu kasih info terupdate sesuai usia kehamilan",5,2022-09-18 20:00:21,"Hai, Parent Na_ Rina! Terima kasih atas review positifnya. Kami senang bahwa Anda merasa app ini dapat membantu Anda. Semoga Parent bisa memanfaatkan semua fitur di aplikasi theAsianparent dengan baik ya! Jangan lupa beritahu teman Parent untuk bergabung di komunitas kami. 😊
",2.12.4,Asian Parent
34791,f1c185cd-7aef-45f9-97fa-c92ad6d55516,Membantu promil,5,2021-02-20 08:13:49,"Halo, Parent! Terima kasih atas review positifnya. Kami senang dapat membantu Anda mendapatkan informasi akurat dalam membantu perkembangan dan pertumbuhan si kecil. Semoga Anda dapat menggunakan semua fitur di aplikasi theAsianparent dengan baik ya! Jangan lupa beritahu teman Anda untuk bergabung di komunitas kami. 😊
",,Asian Parent
74706,ba6d2d92-bd1f-48b0-bc44-0c631bcf3ae9,Hallobumil sangat membantu menambah pengetahuan ibu seputar kehamilan 👍,5,2020-10-10 21:26:50,"Hallo Mama Nining Handayani, terima kasih atas ulasan dan lima bintangnya. Semoga aplikasi Hallobumil dapat bermanfaat sebagai pendamping perencanaan kehamilan, masa kehamilan, dan tumbuh kembang Si Kecil. Sehat selalu :) ^np",1.25.1,Hallobumil
23239,0722af80-04e0-4de6-9a2f-309fe96f9e1a,Aplikasi yang sangat membantu saya untuk mengetahui perkembangan janin saya dan seputar kehamilan...aplikasi yang sangat bermanfaat buat saya...terima kasih theAsianparents,5,2021-11-15 13:05:15,"Halo, Parent! Terima kasih atas review positifnya. Kami senang dapat membantu Anda mendapatkan informasi mengenai perkembangan dan pertumbuhan anak Anda. Semoga Anda juga dapat menggunakan fitur di aplikasi theAsianparent (seperti fitur cari nama bayi, resep dll).dengan baik ya.😊",2.10.3,Asian Parent
18346,a3c4432b-b167-4792-aa8f-c41791c98b6c,Bagus sekaki loh bun,5,2022-02-08 16:22:15,"Hai, Parent! Terima kasih atas review positifnya ❤️ Semoga Anda bisa menggunakan semua fitur aplikasi theAsianparent dengan baik ya! Jangan ragu juga untuk bertanya seputar kehamilan, persiapan proses persalinan, tips pernikahan, rekomendasi makanan anak, gizi balita dan topik lainnya kepada para pakar di komunitas kami 😊",,Asian Parent
39841,6f7f1e7f-43a1-4862-a707-ef6c159b69d7,Good,4,2020-10-21 04:11:18,"Dear Parent, terima kasih untuk dukungan Anda. Jika Anda menyukai app kami, jangan lupa kasih bintang 5★ ya! Oh ya, undang teman-teman kalian untuk gabung dalam komunitas theAsianparent juga! 😊",2.7.11,Asian Parent
2740,49d09416-9c32-4f22-a16b-a58bf3ef524c,"Sangat membantu bangett, mulai hamil sampai baby umur 5bulan. mantap sekalii aplikasi ini💙💙💙",5,2024-04-26 03:26:35,"Hai, Alima! Terima kasih atas review positifnya ❤️ Semoga Anda bisa menggunakan semua fitur aplikasi theAsianparent dengan baik ya! Jangan ragu juga untuk bertanya seputar perkembangan janin, persiapan kehamilan, tips pregnancy, rekomendasi makanan anak, gizi balita dan topik ibu hamil dan menjadi parent di komunitas kami 😊

",3.0.6,Asian Parent
19425,f6097ace-d9e9-4f13-9931-bf06a2378745,Suka banget sama aplikasi nya. Lengkap,5,2022-01-19 07:35:38,"Hai, Parent! Terima kasih atas review positifnya ❤️ Semoga Anda bisa menggunakan semua fitur aplikasi theAsianparent dengan baik ya! Jangan ragu juga untuk bertanya seputar kehamilan, persiapan proses persalinan, tips pernikahan, rekomendasi makanan anak, gizi balita dan topik lainnya kepada para pakar di komunitas kami 😊",2.10.7,Asian Parent
32650,7dead7c6-7289-4955-be71-b708b23cd0c8,Sangat bermanfaat,5,2021-04-02 14:56:10,"Hai, Parent! Terima kasih atas review positifnya ❤️ Semoga Anda bisa menggunakan semua fitur dalam aplikasi theAsianparent dengan baik ya! Jangan lupa beritahu teman Anda untuk bergabung di komunitas kami. 😊",2.9.3,Asian Parent
56430,4b9772df-6e24-4b10-9d07-c49ba413a09d,Salamat at nka sali po ako dito. Malaking tulong ang mga topic na napag uusapan dito. Marami kang matututunan at maibabahagi sa mga mommies na kapareho kong buntis.,5,2024-04-10 22:58:50,"Hi, mavy! Thank you for your positive feedback. We are happy that you find this app is helpful for you. We hope that our app features may help you and your baby. Anyway, don’t forget to invite your gang to join theAsianparent app community too! 😊",3.0.6,Asian Parent
85871,5bc4c8e3-ca38-4d58-ae71-b469b7f8e475,Aplikasinya sangat membantu,5,2020-04-08 16:07:05,"Hi Mums Febby Zein, 
Terima kasih telah menyukai dan menggunakan aplikasi Teman Bumil. Apabila Mums mempunyai pertanyaan atau feedback seputar Teman Bumil, bisa dikirimkan ke info@temanbumil.com ya Mums.",1.10.2,Teman Bumil
86260,39b4119a-a5ca-4ea9-bc87-15ce2c25e88b,"Sangat bermanfaat bagiku, karena dapat banyak info, thanks",5,2019-10-10 18:52:10,"Hi Mums dewi maesaroh!
Terima kasih telah menyukai aplikasi Teman Bumil. Apabila Mums mempunyai pertanyaan atau feedback seputar Teman Bumil, bisa dikirimkan ke info@temanbumil.com :)",1.9.5,Teman Bumil
76291,5770b721-30d5-4737-8e13-c1ff5bab5563,mantep,5,2019-05-11 14:27:03,"Dear Ayah Vildan Alfian, terima kasih atas ulasannya. Semoga aplikasi Hallobumil dapat terus bermanfaat sebagai pendamping kehamilan. Salam hangat :) ^in",1.21,Hallobumil
